0,1,2,3,4,5,6,7,8,9,10,11,12
1,mood,circumplex.valence,appCat.social,screen,appCat.communication,appCat.finance,circumplex.arousal,call,activity,sms,appCat.other,appCat.builtin
2,mood,appCat.communication,appCat.entertainment,appCat.travel,call,circumplex.valence,activity,appCat.social,appCat.other,appCat.builtin,sms,screen
3,mood,circumplex.valence,call,appCat.other,appCat.utilities,screen,sms,appCat.communication,activity,appCat.entertainment,appCat.travel,circumplex.arousal
5,mood,circumplex.valence,appCat.social,sms,circumplex.arousal,activity,appCat.builtin,screen,appCat.utilities,appCat.entertainment,appCat.other,call
6,mood,appCat.entertainment,appCat.office,appCat.other,appCat.communication,circumplex.arousal,appCat.social,call,activity,screen,appCat.builtin,appCat.travel
7,mood,appCat.travel,screen,appCat.social,appCat.builtin,activity,circumplex.arousal,appCat.entertainment,circumplex.valence,appCat.communication,appCat.other,call
8,mood,circumplex.arousal,circumplex.valence,screen,appCat.social,appCat.utilities,activity,appCat.builtin,call,sms,appCat.other,appCat.communication
9,mood,appCat.other,appCat.office,circumplex.valence,screen,appCat.utilities,activity,appCat.social,appCat.travel,circumplex.arousal,appCat.entertainment,appCat.builtin
12,mood,appCat.finance,screen,call,circumplex.valence,appCat.entertainment,appCat.communication,circumplex.arousal,appCat.builtin,sms,appCat.office,appCat.social
13,mood,appCat.other,circumplex.valence,appCat.office,activity,appCat.social,call,screen,appCat.builtin,circumplex.arousal,appCat.entertainment,appCat.travel
14,mood,appCat.other,appCat.social,screen,circumplex.valence,call,appCat.communication,activity,circumplex.arousal,appCat.builtin,sms,
15,mood,circumplex.valence,activity,circumplex.arousal,appCat.other,call,screen,sms,appCat.communication,appCat.builtin,,
16,mood,circumplex.valence,appCat.finance,call,circumplex.arousal,screen,appCat.builtin,appCat.other,activity,appCat.social,sms,appCat.communication
17,mood,call,activity,circumplex.valence,appCat.communication,appCat.travel,appCat.utilities,appCat.entertainment,appCat.builtin,appCat.social,appCat.other,appCat.office
19,mood,appCat.other,appCat.communication,screen,sms,circumplex.valence,call,activity,circumplex.arousal,appCat.social,appCat.builtin,
20,mood,appCat.social,sms,appCat.game,circumplex.arousal,appCat.entertainment,circumplex.valence,screen,appCat.builtin,appCat.communication,appCat.other,activity
23,mood,appCat.social,screen,circumplex.valence,appCat.communication,appCat.other,appCat.utilities,appCat.entertainment,activity,circumplex.arousal,appCat.builtin,appCat.travel
24,mood,circumplex.valence,appCat.social,call,appCat.entertainment,appCat.other,appCat.builtin,circumplex.arousal,activity,appCat.utilities,screen,appCat.communication
25,mood,call,appCat.communication,circumplex.valence,circumplex.arousal,screen,sms,appCat.office,appCat.social,appCat.entertainment,appCat.weather,appCat.builtin
26,mood,appCat.travel,circumplex.valence,activity,appCat.other,appCat.communication,appCat.weather,circumplex.arousal,call,appCat.entertainment,screen,appCat.builtin
27,mood,appCat.other,appCat.travel,call,circumplex.valence,circumplex.arousal,screen,sms,activity,appCat.game,appCat.builtin,appCat.communication
28,mood,appCat.travel,appCat.game,screen,sms,appCat.social,appCat.entertainment,call,appCat.finance,appCat.utilities,appCat.other,appCat.weather
29,mood,appCat.travel,appCat.other,appCat.communication,circumplex.valence,screen,activity,circumplex.arousal,appCat.entertainment,appCat.builtin,appCat.social,call
30,mood,appCat.other,circumplex.valence,appCat.finance,appCat.game,activity,appCat.travel,circumplex.arousal,appCat.entertainment,appCat.utilities,appCat.office,call
31,mood,appCat.builtin,appCat.office,appCat.social,appCat.communication,appCat.entertainment,appCat.finance,sms,call,circumplex.arousal,screen,appCat.utilities
32,mood,appCat.builtin,circumplex.valence,appCat.communication,call,screen,sms,activity,appCat.entertainment,circumplex.arousal,appCat.other,
33,mood,sms,appCat.entertainment,activity,screen,appCat.social,appCat.communication,circumplex.arousal,appCat.utilities,appCat.other,appCat.builtin,appCat.travel
